Date,Adj Close,Close,High,Low,Open,Volume
2017-08-10,157070.8125,158800.0,160400.0,158200.0,158800.0,367510
2017-08-11,157268.625,159000.0,159600.0,156000.0,156200.0,269710
2017-08-14,154103.46875,155800.0,161400.0,155200.0,161400.0,396985
2017-08-16,155686.046875,157400.0,158000.0,155800.0,156000.0,349085
2017-08-17,153707.828125,155400.0,157200.0,155200.0,156200.0,367040
2017-08-18,155092.59375,156800.0,157000.0,154600.0,154600.0,263105
2017-08-21,154499.125,156200.0,157000.0,155000.0,156800.0,202420
2017-08-22,151729.609375,153400.0,156200.0,152600.0,156200.0,1149490
2017-08-23,152916.546875,154600.0,156200.0,154000.0,154400.0,485075
2017-08-24,152520.890625,154200.0,154800.0,153200.0,154000.0,584980
2017-08-25,154301.296875,156000.0,157400.0,154200.0,154200.0,413035
2017-08-28,154894.765625,156600.0,158600.0,155800.0,156200.0,545185
2017-08-29,153905.65625,155600.0,156000.0,153400.0,155800.0,528455
2017-08-30,153114.375,154800.0,156600.0,154200.0,155600.0,564995
2017-08-31,149355.75,151000.0,154000.0,150200.0,153800.0,991250
2017-09-01,147575.359375,149200.0,152200.0,149000.0,151400.0,732700
2017-09-04,143618.90625,145200.0,146800.0,144800.0,144800.0,702385
2017-09-05,145597.125,147200.0,148400.0,145400.0,145600.0,487885
2017-09-06,145794.953125,147400.0,147800.0,145000.0,145800.0,401195
2017-09-07,144410.203125,146000.0,147400.0,146000.0,147200.0,340875
2017-09-08,143816.71875,145400.0,146600.0,144800.0,145000.0,354400
2017-09-11,142431.96875,144000.0,145400.0,143400.0,145400.0,377585
2017-09-12,145399.296875,147000.0,148400.0,143600.0,144600.0,415155
2017-09-13,144212.375,145800.0,147000.0,145000.0,146600.0,371380
2017-09-14,151333.96875,153000.0,153800.0,145800.0,146000.0,1132945
2017-09-15,150344.859375,152000.0,152800.0,150400.0,152800.0,496310
2017-09-18,154499.125,156200.0,157200.0,152200.0,152400.0,614480
2017-09-19,152323.078125,154000.0,155400.0,152800.0,155000.0,369870
2017-09-20,154894.765625,156600.0,157400.0,153400.0,154800.0,431835
2017-09-21,150938.328125,152600.0,156200.0,152000.0,155400.0,338785
2017-09-25,149157.921875,150800.0,152600.0,149800.0,152000.0,369320
2017-09-26,149157.921875,150800.0,150800.0,150800.0,150800.0,0
2017-09-27,145201.484375,146800.0,150400.0,146800.0,150000.0,460270
2017-09-28,145003.65625,146600.0,149000.0,146000.0,146000.0,543805
2017-09-29,147377.515625,149000.0,149800.0,146600.0,146600.0,263995
2017-10-10,149553.578125,151200.0,154000.0,148800.0,149400.0,822795
2017-10-11,148564.453125,150200.0,151000.0,149200.0,150200.0,296145
2017-10-12,151927.4375,153600.0,154400.0,150200.0,150200.0,572635
2017-10-13,150740.5,152400.0,153600.0,151600.0,153600.0,365215
2017-10-16,150740.5,152400.0,153400.0,151800.0,152800.0,326530
2017-10-17,151927.4375,153600.0,154400.0,152800.0,153400.0,464470
2017-10-18,161225.0625,163000.0,163400.0,153600.0,153600.0,1098155
2017-10-19,160433.78125,162200.0,165200.0,161000.0,163600.0,896165
2017-10-20,158455.5625,160200.0,164600.0,158400.0,163600.0,515455
2017-10-23,158059.921875,159800.0,162400.0,158600.0,161200.0,324350
2017-10-24,158455.5625,160200.0,162000.0,159000.0,159400.0,277285
2017-10-25,159049.03125,160800.0,162200.0,159000.0,160000.0,466290
2017-10-26,166170.625,168000.0,170800.0,166000.0,168800.0,1711705
2017-10-27,173885.703125,175800.0,175800.0,172000.0,172000.0,1183225
2017-10-30,173292.21875,175200.0,179800.0,174000.0,177400.0,528590
2017-10-31,176853.03125,178800.0,179200.0,173600.0,175000.0,655095
